phyto_name,match.name,genus,species,MFG,MFG2,mld,source
Navicula capitata,Hippodonta capitata,Hippodonta,capitata,7b-SmallPenn,7b-SmallPenn,,
Navicula pygmaea,Fallacia pygmaea,Fallacia,pygmaea,7b-SmallPenn,7b-SmallPenn,,
Navigeia decussis,Navigeia decussis,Navigeia,decussis,NA,NA,,
Nephroselmis,Nephroselmis,Nephroselmis,,NA,NA,,
Nephroselmis olivacea,Nephroselmis olivacea,Nephroselmis,olivacea,NA,NA,,
Nitzschia constricta,Tryblionella apiculata,Tryblionella,apiculata,7b-SmallPenn,7b-SmallPenn,,
Nitzschia or,NA,,,7b-SmallPenn,7b-SmallPenn,,
Oocystis solitaria,Neglectella solitaria,Neglectella,solitaria,11b-GelaChlor,11b-GelaChlor,,
Palmellaceae,NA,,,11a-NakeChlor,11a-NakeChlor,,
Pantocsekiella comensis,Pantocsekiella comensis,Pantocsekiella,comensis,NA,NA,,
Pantocsekiella costei small,Pantocsekiella costei,Pantocsekiella,costei,NA,NA,,
Pantocsekiella delicatula,Pantocsekiella delicatula,Pantocsekiella,delicatula,NA,NA,,
Pantocsekiella ocellata,Pantocsekiella ocellata,Pantocsekiella,ocellata,NA,NA,,
Pantocsekiella polymorpha,Pantocsekiella polymorpha,Pantocsekiella,polymorpha,NA,NA,,
Pantocsekiella rossii,Pantocsekiella rossii,Pantocsekiella,rossii,NA,NA,,
Parvodinium inconspicuum,Parvodinium inconspicuum,Parvodinium,inconspicuum,NA,NA,,
Parvodinium pusillum,Parvodinium pusillum,Parvodinium,pusillum,NA,NA,,
Parvodinium umbonatum,Parvodinium umbonatum,Parvodinium,umbonatum,NA,NA,,
Peridiniopsis oculata,Durinskia oculata,Durinskia,oculata,2b-SmallDino,2b-SmallDino,,
Peridiniopsis oculatum,Durinskia oculata,Durinskia,oculata,2b-SmallDino,2b-SmallDino,,
Peridinium goslaviense,Parvodinium goslaviense,Parvodinium,goslaviense,1b-LargeDino,1b-LargeDino,,
Peridinium inconspicuum,Parvodinium inconspicuum,Parvodinium,inconspicuum,2b-SmallDino,2b-SmallDino,,
Phaeocystis,Phaeocystis,Phaeocystis,,NA,NA,,
Placoneis placentula,Paraplaconeis placentula,Paraplaconeis,placentula,7b-SmallPenn,7b-SmallPenn,,
Pseudochlorella pyrenoidosa,Pseudochlorella pyrenoidosa,Pseudochlorella,pyrenoidosa,NA,NA,,
Pseudodidymocystis fina,Pseudodidymocystis fina,Pseudodidymocystis,fina,NA,NA,,
Pseudodidymocystis planctonica,Pseudodidymocystis planctonica,Pseudodidymocystis,planctonica,NA,NA,,
Pseudokephyrion blatnense,NA,,,2a-SmallChry1,2a-SmallChry1,,
Pseudostaurastrum,Pseudostaurastrum,Pseudostaurastrum,,NA,NA,,
Pseudostaurastrum limneticum,Pseudostaurastrum limneticum,Pseudostaurastrum,limneticum,NA,NA,,
Pseudotetrastrum punctatum,Pseudotetrastrum punctatum,Pseudotetrastrum,punctatum,NA,NA,,
Pyramimonas,Pyramimonas,Pyramimonas,,NA,NA,,
