Taxa.name,genus,species,Mobility.apparatus,size,Colonial,Filament,centric,Gelatinous,aerotopes,Class,Order,MFG.fromtraits
Cosmarium abbreviatum,Cosmarium,abbreviatum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium abbreviatum minor,Cosmarium,abbreviatum minor,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium biretum,Cosmarium,biretum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium blytii,Cosmarium,blytii,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium botrytis,Cosmarium,botrytis,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium brebissonii,Cosmarium,brebissonii,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium depressum,Cosmarium,depressum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium depressum planctonicum,Cosmarium,depressum planctonicum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium granatum,Cosmarium,granatum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium impressulum,Cosmarium,impressulum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium laeve,Cosmarium,laeve,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium margaritiferum,Cosmarium,margaritiferum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium margaritiferum regularius,Cosmarium,margaritiferum regularius,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium meneghenii,Cosmarium,meneghenii,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium minimum,Cosmarium,minimum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium novae-semliae sibericum,Cosmarium,novae-semliae sibericum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium octhodes,Cosmarium,octhodes,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium ornatum,Cosmarium,ornatum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium phaseolus,Cosmarium,phaseolus,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium phaseolus minus,Cosmarium,phaseolus minus,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium polygonum hexagonum,Cosmarium,polygonum hexagonum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium protractum,Cosmarium,protractum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium pseudonitidulum,Cosmarium,pseudonitidulum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium pseudoornatum,Cosmarium,pseudoornatum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium pseudopyramidum,Cosmarium,pseudopyramidum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium punctulatum,Cosmarium,punctulatum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium pusillum,Cosmarium,pusillum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium pygmaeum,Cosmarium,pygmaeum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium pygmaeum heimerlii,Cosmarium,pygmaeum heimerlii,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium regnellii,Cosmarium,regnellii,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium reniforme,Cosmarium,reniforme,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium sexangulare minus,Cosmarium,sexangulare minus,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium skujae,Cosmarium,skujae,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium,Cosmarium,,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium subcostatum minus,Cosmarium,subcostatum minus,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium subcostatum subcostatum,Cosmarium,subcostatum subcostatum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium subcremulatum,Cosmarium,subcremulatum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium subcrenatum,Cosmarium,subcrenatum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium subgranatum,Cosmarium,subgranatum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium subprotumidum,Cosmarium,subprotumidum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium subprotumidum gregorii,Cosmarium,subprotumidum gregorii,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium subsalsum,Cosmarium,subsalsum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium tenue,Cosmarium,tenue,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium tumidum,Cosmarium,tumidum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium turpinii,Cosmarium,turpinii,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium undulatum,Cosmarium,undulatum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium undulatum minutum,Cosmarium,undulatum minutum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Cosmarium venustum,Cosmarium,venustum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Cosmarium venustum minus,Cosmarium,venustum minus,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Crucigenia fenestrata,Crucigenia,fenestrata,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Crucigenia lauterbornii,Crucigenia,lauterbornii,0,large,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Crucigenia mucronata,Crucigenia,mucronata,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Crucigenia quadrata,Crucigenia,quadrata,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Crucigenia tetrapedia,Crucigenia,tetrapedia,0,small,1,0,0,1,0,Chlorophyceae,Chlorococcales,11b-GelaChlor
Crucigeniella apiculata,Crucigeniella,apiculata,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Crucigeniella crucifera,Crucigeniella,crucifera,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Crucigeniella lunaris,Crucigeniella,lunaris,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Crucigeniella pulchra,Crucigeniella,pulchra,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Crucigeniella rectangularis,Crucigeniella,rectangularis,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Cryptomonas brevis,Cryptomonas,brevis,1,small,0,0,0,1,0,Cryptophyceae,Cryptomonadales,2d-Crypto
Cryptomonas lucens,Cryptomonas,lucens,1,small,0,0,0,1,0,Cryptophyceae,Cryptomonadales,2d-Crypto
Cryptomonas pyrenoidifera,Cryptomonas,pyrenoidifera,1,small,0,0,0,1,0,Cryptophyceae,Cryptomonadales,2d-Crypto
Cryptomonas marsonii,Cryptomonas,marsonii,1,small,0,0,0,1,0,Cryptophyceae,Cryptomonadales,2d-Crypto
Cryptomonas ovata,Cryptomonas,ovata,1,large,0,0,0,1,0,Cryptophyceae,Cryptomonadales,2d-Crypto
Cryptomonas rostrata,Cryptomonas,rostrata,1,large,0,0,0,1,0,Cryptophyceae,Cryptomonadales,2d-Crypto
Cryptomonas rostratiformis,Cryptomonas,rostratiformis,1,large,0,0,0,1,0,Cryptophyceae,Cryptomonadales,2d-Crypto
Cryptomonas,Cryptomonas,,1,small,0,0,0,1,0,Cryptophyceae,Cryptomonadales,2d-Crypto
Cyanobium,Cyanobium,,0,small,0,0,0,1,0,Cyanophyceae,Chroococcales,4-UnicCyano
Cyanodictyon planctonicum,Cyanodictyon,planctonicum,0,large,1,0,0,0,0,Cyanophyceae,Synechococcales,5c-OtherChroo
Cyanosarcina chroococcoides,Cyanosarcina,chroococcoides,0,small,1,0,0,0,0,Cyanophyceae,Chroococcales,5d-SmallChroo
Cyclostephanos dubius,Cyclostephanos,dubius,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclostephanos invisitatus,Cyclostephanos,invisitatus,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella atomus,Cyclotella,atomus,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella atomus gracilis,Cyclotella,atomus gracilis,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella bodanica bodanica,Cyclotella,bodanica bodanica,0,large,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,6a2-LUniCent
Cyclotella bodanica lemanensis,Cyclotella,bodanica lemanensis,0,large,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,6a2-LUniCent
Cyclotella distinguenda,Cyclotella,distinguenda,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella quadrijuncta,Cyclotella,quadrijuncta,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella rossii,Cyclotella,rossii,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella comensis,Cyclotella,comensis,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella costei,Cyclotella,costei,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella costei petite,Cyclotella,costei petite,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella cyclopuncta,Cyclotella,cyclopuncta,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella delicatula,Cyclotella,delicatula,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella glabriuscula,Cyclotella,glabriuscula,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella kuetzingiana,Cyclotella,kuetzingiana,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella meduanae,Cyclotella,meduanae,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella meneghiniana,Cyclotella,meneghiniana,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella ocellata,Cyclotella,ocellata,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella operculata,Cyclotella,operculata,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella planctonica,Cyclotella,planctonica,0,large,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,6a2-LUniCent
Cyclotella polymorpha,Cyclotella,polymorpha,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella pseudostelligera,Cyclotella,pseudostelligera,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella radiosa,Cyclotella,radiosa,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella,Cyclotella,,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella /Stephanodiscus,Cyclotella,/Stephanodiscus,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella stelligera,Cyclotella,stelligera,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cyclotella wuethrichiana,Cyclotella,wuethrichiana,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Cylindrospermum,Cylindrospermum,,0,large,1,1,0,1,0,Cyanophyceae,Nostocales,5e-Nostocales
Cymatopleura elliptica,Cymatopleura,elliptica,1,large,0,0,0,1,0,Bacillariophyceae,Surirellales,6b2-LUniPenn
Cymatopleura solea,Cymatopleura,solea,1,large,0,0,0,1,0,Bacillariophyceae,Surirellales,6b2-LUniPenn
Cymatopleura solea regula,Cymatopleura,solea regula,1,large,0,0,0,1,0,Bacillariophyceae,Surirellales,6b2-LUniPenn
Cymbella affinis,Cymbella,affinis,1,large,0,0,0,1,0,Bacillariophyceae,Cymbellales,6b2-LUniPenn
Cymbella amphicephala,Cymbella,amphicephala,1,small,0,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Cymbella caespitosa,Cymbella,caespitosa,1,small,0,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Cymbella cistula,Cymbella,cistula,1,large,0,0,0,1,0,Bacillariophyceae,Cymbellales,6b2-LUniPenn
Cymbella compacta,Cymbella,compacta,1,large,0,0,0,1,0,Bacillariophyceae,Cymbellales,6b2-LUniPenn
Cymbella cuspidata,Cymbella,cuspidata,1,large,0,0,0,1,0,Bacillariophyceae,Cymbellales,6b2-LUniPenn
Cymbella cymbiformis,Cymbella,cymbiformis,1,small,0,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Cymbella delicatula,Cymbella,delicatula,1,small,0,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Cymbella ehrenbergii,Cymbella,ehrenbergii,1,large,0,0,0,1,0,Bacillariophyceae,Cymbellales,6b2-LUniPenn
Cymbella excisa,Cymbella,excisa,1,small,0,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Cymbella helvetica curta,Cymbella,helvetica curta,1,large,0,0,0,1,0,Bacillariophyceae,Cymbellales,6b2-LUniPenn
Cymbella laevis,Cymbella,laevis,1,small,0,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Cymbella lanceolata,Cymbella,lanceolata,1,large,0,0,0,1,0,Bacillariophyceae,Cymbellales,6b2-LUniPenn
Cymbella lata,Cymbella,lata,1,large,0,0,0,1,0,Bacillariophyceae,Cymbellales,6b2-LUniPenn
Cymbella leptoceros,Cymbella,leptoceros,1,large,0,0,0,1,0,Bacillariophyceae,Cymbellales,6b2-LUniPenn
Cymbella microcephala,Cymbella,microcephala,1,small,0,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Cymbella minuta,Cymbella,minuta,1,small,1,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Cymbella naviculiformis,Cymbella,naviculiformis,1,small,0,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Cymbella parva,Cymbella,parva,1,small,0,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Cymbella prostrata,Cymbella,prostrata,1,large,1,0,0,1,0,Bacillariophyceae,Cymbellales,6b1-LColPenn
Cymbella,Cymbella,,1,large,1,0,0,1,0,Bacillariophyceae,Cymbellales,6b1-LColPenn
Cymbella ventricosa,Cymbella,ventricosa,1,small,1,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Cymbopleura lata,Cymbopleura,lata,1,large,0,0,0,1,0,Bacillariophyceae,Cymbellales,6b2-LUniPenn
Cymbopleura similiformis,Cymbopleura,similiformis,1,small,0,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Cyst of,Cyst,of,0,small,0,0,0,NA,NA,Chrysophyceae,,9c-SmallChry2
Cyst Chrysophycee,Cyst,Chrysophycee,0,small,0,0,0,NA,NA,Chrysophyceae,,9c-SmallChry2
Cyst of peridinien,Cyst,of peridinien,0,small,0,0,0,NA,NA,Dinophyceae,Peridiniales,9d-SmallUnic
Cysts of,Cysts,of,0,small,0,0,0,NA,NA,Chrysophyceae,,9c-SmallChry2
Denticula tenuis,Denticula,tenuis,1,small,0,0,0,1,0,Bacillariophyceae,Bacillariales,7b-SmallPenn
Desmarella brachycalyx,Desmarella,brachycalyx,1,small,0,0,0,1,0,Choanoflagellatea,Choanoflagellida,NA
Desmatractum indutum,Desmatractum,indutum,0,small,0,0,0,0,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Diatoma ehrenbergii,Diatoma,ehrenbergii,0,large,1,0,0,1,0,Fragilariophyceae,Fragilariales,6b1-LColPenn
Diatoma elongatum,Diatoma,elongatum,0,large,1,0,0,1,0,Fragilariophyceae,Fragilariales,6b1-LColPenn
Diatoma mesodon,Diatoma,mesodon,0,small,1,0,0,1,0,Fragilariophyceae,Fragilariales,7b-SmallPenn
Diatoma moniliformis,Diatoma,moniliformis,0,small,1,0,0,1,0,Fragilariophyceae,Fragilariales,7b-SmallPenn
Diatoma tenuis,Diatoma,tenuis,0,large,1,0,0,1,0,Fragilariophyceae,Fragilariales,6b1-LColPenn
Diatoma vulgaris,Diatoma,vulgaris,0,large,1,0,0,1,0,Fragilariophyceae,Fragilariales,6b1-LColPenn
Dictyochlorella reniformis,Dictyochlorella,reniformis,0,small,0,0,0,1,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Dictyosphaerium subsolitarium,Dictyosphaerium,subsolitarium,0,small,1,0,0,1,0,Chlorophyceae,Chlorococcales,11b-GelaChlor
Dictyosphaerium tetrachotomum,Dictyosphaerium,tetrachotomum,0,large,1,0,0,1,0,Chlorophyceae,Chlorococcales,11b-GelaChlor
Dictyosphaerium ehrenbergianum,Dictyosphaerium,ehrenbergianum,0,small,1,0,0,1,0,Chlorophyceae,Chlorococcales,11b-GelaChlor
Dictyosphaerium elongatum,Dictyosphaerium,elongatum,0,large,1,0,0,1,0,Chlorophyceae,Chlorococcales,11b-GelaChlor
Dictyosphaerium pulchellum,Dictyosphaerium,pulchellum,0,large,1,0,0,1,0,Chlorophyceae,Chlorococcales,11b-GelaChlor
Dictyosphaerium subsolitarium single,Dictyosphaerium,subsolitarium single,0,small,0,0,0,NA,NA,Chlorophyceae,Chlorococcales,9b-SmallChlor
Didymocystis bicellularis,Didymocystis,bicellularis,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Didymocystis fina,Didymocystis,fina,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Didymocystis planctonica,Didymocystis,planctonica,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Didymocystis,Didymocystis,,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Dimorphococcus cordatus,Dimorphococcus,cordatus,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Dimorphococcus lunatus,Dimorphococcus,lunatus,0,large,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Dinobryon anneciense,Dinobryon,anneciense,1,large,1,0,0,1,0,Chrysophyceae,Chromulinales,1a-LargeChry
Dinobryon bavaricum,Dinobryon,bavaricum,1,small,1,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon bavaricum plein,Dinobryon,bavaricum plein,1,small,1,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon bavaricum vide,Dinobryon,bavaricum vide,1,small,1,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon calyciforme plein,Dinobryon,calyciforme plein,1,small,0,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon stokesii neustonicum,Dinobryon,stokesii neustonicum,1,small,1,0,0,NA,NA,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon cylindricum,Dinobryon,cylindricum,1,large,1,0,0,1,0,Chrysophyceae,Chromulinales,1a-LargeChry
Dinobryon cylindricum plein,Dinobryon,cylindricum plein,1,large,1,0,0,1,0,Chrysophyceae,Chromulinales,1a-LargeChry
Dinobryon cylindricum alpinum,Dinobryon,cylindricum alpinum,1,large,1,0,0,1,0,Chrysophyceae,Chromulinales,1a-LargeChry
Dinobryon cylindricum vide,Dinobryon,cylindricum vide,1,large,1,0,0,1,0,Chrysophyceae,Chromulinales,1a-LargeChry
Dinobryon divergens,Dinobryon,divergens,1,large,1,0,0,1,0,Chrysophyceae,Chromulinales,1a-LargeChry
Dinobryon divergens plein,Dinobryon,divergens plein,1,large,1,0,0,1,0,Chrysophyceae,Chromulinales,1a-LargeChry
Dinobryon divergens vide,Dinobryon,divergens vide,1,large,1,0,0,1,0,Chrysophyceae,Chromulinales,1a-LargeChry
Dinobryon elegantissimum,Dinobryon,elegantissimum,1,small,1,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon elegantissimum plein,Dinobryon,elegantissimum plein,1,small,1,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon elegantissimum vide,Dinobryon,elegantissimum vide,1,small,1,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon eurystoma,Dinobryon,eurystoma,1,small,1,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon pediforme,Dinobryon,pediforme,1,large,1,0,0,1,0,Chrysophyceae,Chromulinales,1a-LargeChry
Dinobryon petiolatum,Dinobryon,petiolatum,1,small,1,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon sertularia,Dinobryon,sertularia,1,small,1,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon sertularia plein,Dinobryon,sertularia plein,1,small,1,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon sertularia protractum,Dinobryon,sertularia protractum,1,small,1,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon sertularia protuberans,Dinobryon,sertularia protuberans,1,small,1,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon sertularia vide,Dinobryon,sertularia vide,1,small,1,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Dinobryon sociale americanum,Dinobryon,sociale americanum,1,large,1,0,0,1,0,Chrysophyceae,Chromulinales,1a-LargeChry
Dinobryon sociale stipitatum,Dinobryon,sociale stipitatum,1,large,1,0,0,1,0,Chrysophyceae,Chromulinales,1a-LargeChry
Dinosphaera palustris,Dinosphaera,palustris,1,small,0,0,0,1,0,Dinophyceae,Peridiniales,2b-SmallDino
Diploneis elliptica,Diploneis,elliptica,1,small,0,0,0,1,0,Bacillariophyceae,Naviculales,7b-SmallPenn
Diploneis maulerii,Diploneis,maulerii,1,small,0,0,0,1,0,Bacillariophyceae,Naviculales,7b-SmallPenn
Diploneis minuta,Diploneis,minuta,1,small,0,0,0,1,0,Bacillariophyceae,Naviculales,7b-SmallPenn
Diploneis oblongella,Diploneis,oblongella,1,small,0,0,0,1,0,Bacillariophyceae,Naviculales,7b-SmallPenn
Diploneis oculata,Diploneis,oculata,1,small,0,0,0,1,0,Bacillariophyceae,Naviculales,7b-SmallPenn
Diploneis ovalis,Diploneis,ovalis,1,small,0,0,0,1,0,Bacillariophyceae,Naviculales,7b-SmallPenn
Diploneis,Diploneis,,1,large,0,0,0,1,0,Bacillariophyceae,Naviculales,6b2-LUniPenn
Diplopsalis acuta,Diplopsalis,acuta,1,large,0,0,0,1,0,Dinophyceae,Peridiniales,1b-LargeDino
Discostella stelligera,Discostella,stelligera,0,small,0,0,1,1,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Discostella woltereckii,Discostella,woltereckii,0,small,0,0,1,0,0,Coscinodiscophyceae,Thalassiosirales,7a-SmallCent
Echinosphaerella limnetica,Echinosphaerella,limnetica,0,small,0,0,0,0,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Elakatothrix gelatinosa,Elakatothrix,gelatinosa,0,large,1,0,0,1,0,Chlorophyceae,Chlorococcales,11b-GelaChlor
Elakatothrix,Elakatothrix,,0,large,1,0,0,1,0,Chlorophyceae,Chlorococcales,11b-GelaChlor
Elakatothrix viridis,Elakatothrix,viridis,0,large,1,0,0,1,0,Chlorophyceae,Chlorococcales,11b-GelaChlor
Encyonema minutum,Encyonema,minutum,1,small,1,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Encyonema prostratum,Encyonema,prostratum,1,large,1,0,0,1,0,Bacillariophyceae,Cymbellales,6b1-LColPenn
Encyonema reichardtii,Encyonema,reichardtii,1,small,1,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Encyonema silesiacum,Encyonema,silesiacum,1,small,1,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Encyonema triangulum,Encyonema,triangulum,1,large,1,0,0,1,0,Bacillariophyceae,Cymbellales,6b1-LColPenn
Encyonopsis microcephala,Encyonopsis,microcephala,1,small,1,0,0,1,0,Bacillariophyceae,Cymbellales,7b-SmallPenn
Eolimna minima,Eolimna,minima,1,small,0,0,0,1,0,Bacillariophyceae,Naviculales,7b-SmallPenn
Epipyxis condensata,Epipyxis,condensata,1,small,1,0,0,0,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Epipyxis cylindrica,Epipyxis,cylindrica,1,small,0,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Epipyxis gracilis,Epipyxis,gracilis,1,small,0,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Epipyxis planctonica,Epipyxis,planctonica,1,large,0,0,0,1,0,Chrysophyceae,Chromulinales,1a-LargeChry
Epipyxis polymorpha,Epipyxis,polymorpha,1,small,0,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Epipyxis,Epipyxis,,1,small,0,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Epipyxis tabellariae,Epipyxis,tabellariae,1,small,0,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Epithemia adnata,Epithemia,adnata,1,large,0,0,0,1,0,Bacillariophyceae,Rhopalodiales,6b2-LUniPenn
Epithemia,Epithemia,,1,large,0,0,0,1,0,Bacillariophyceae,Rhopalodiales,6b2-LUniPenn
Erkenia subaequiciliata,Erkenia,subaequiciliata,1,small,0,0,0,1,0,Prymnesiophyceae,Prymnesiales,NA
Euastrum,Euastrum,,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Euastrum subalpinum,Euastrum,subalpinum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Eudorina elegans,Eudorina,elegans,0,large,1,0,0,0,0,Chlorophyceae,Volvocales,11c-OtherCol
