"","genus","species","MFG","genspp","source"
"4571","Dichtiosphaerium","","1a-LargeChry","Dichtiosphaerium","Tolotti et al. 2010"
"41","Dictyochlorella","reniformis","9b-SmallChlor","Dictyochlorella reniformis","Komarek & Fott 1983"
"6812","Dictyococcus","","1a-LargeChry","Dictyococcus","Algaebase"
"4710","Dictyosphaerium","","1b-LargeDino","Dictyosphaerium","Salmaso Geisha Powell Center Workshop"
"6100","Dictyosphaerium","pulchellum","1b-LargeDino","Dictyosphaerium pulchellum","Salmaso & Padisak 2007"
"1492","Dictyosphaerium","","1b-LargeDino","Dictyosphaerium","Salmaso & Padisak 2007"
"42","Didymocystis","bicellularis","1a-LargeChry","Didymocystis bicellularis","Salmaso Geisha Powell Center Workshop"
"43","Didymocystis","fina","1a-LargeChry","Didymocystis fina","Salmaso Geisha Powell Center Workshop"
"44","Didymocystis","planctonica","1a-LargeChry","Didymocystis planctonica","Salmaso Geisha Powell Center Workshop"
"45","Didymocystis","","1a-LargeChry","Didymocystis","Salmaso Geisha Powell Center Workshop"
"4810","Didymocystis","","1b-LargeDino","Didymocystis","Salmaso Geisha Powell Center Workshop"
"4910","Didymogenes","","1b-LargeDino","Didymogenes","Salmaso Geisha Powell Center Workshop"
"46","Dimorphococcus","cordatus","1a-LargeChry","Dimorphococcus cordatus","Salmaso Geisha Powell Center Workshop"
"47","Dimorphococcus","lunatus","1a-LargeChry","Dimorphococcus lunatus","Salmaso Geisha Powell Center Workshop"
"5010","Dimorphococcus","","1b-LargeDino","Dimorphococcus","Salmaso Geisha Powell Center Workshop"
"1501","Dinobryion","petiolatum","2a-SmallChry1","Dinobryion petiolatum","Salmaso & Padisak 2007"
"5110","Dinobryon","","1a-LargeChry","Dinobryon","Salmaso Geisha Powell Center Workshop"
"1511","Dinobryon","divergens","1a-LargeChry","Dinobryon divergens","Salmaso & Padisak 2007"
"1611","Dinobryon","sociale","1a-LargeChry","Dinobryon sociale","Salmaso & Padisak 2007"
"1512","Dinobryon","acuminatum","1a-LargeChry","Dinobryon acuminatum","Salmaso & Padisak 2007"
"1521","Dinobryon","bavaricum","1a-LargeChry","Dinobryon bavaricum","Salmaso & Padisak 2007"
"1531","Dinobryon","crenulatum","1a-LargeChry","Dinobryon crenulatum","Salmaso & Padisak 2007"
"1541","Dinobryon","cylindricum","1a-LargeChry","Dinobryon cylindricum","Salmaso & Padisak 2007"
"1551","Dinobryon","cysts","9c-SmallChry2","Dinobryon cysts","Salmaso & Padisak 2007"
"1571","Dinobryon","eurystoma","1a-LargeChry","Dinobryon eurystoma","Salmaso & Padisak 2007"
"1581","Dinobryon","pediforme","1a-LargeChry","Dinobryon pediforme","Salmaso & Padisak 2007"
"1601","Dinobryon","suecicum","1a-LargeChry","Dinobryon suecicum","Salmaso & Padisak 2007"
"3621","Dinobryon","divergens","1a-LargeChry","Dinobryon divergens","Li et al. 2018"
"221","Dinoflagellate","","NA","Dinoflagellate","description"
"1612","dinophyta","cyst","9d-SmallUnic","dinophyta cyst","Salmaso & Padisak 2007"
"48","Dinosphaera","palustris","2b-SmallDino","Dinosphaera palustris","Carty 2014"
"5210","Diplochloris","","3a-UnicPhyto","Diplochloris","Salmaso Geisha Powell Center Workshop"
"49","Diploneis","elliptica","7b-SmallPenn","Diploneis elliptica","Salmaso Geisha Powell Center Workshop"
"50","Diploneis","maulerii","7b-SmallPenn","Diploneis maulerii","Salmaso Geisha Powell Center Workshop"
