MFG.num,original_phyto_name,phyto_name,Algaebase_Current_22Sep2017,Match.,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
2c,Trachelomonas volvocina EHRENBERG 1833,Trachelomonas volvocina,Trachelomonas volvocina,TRUE,Trachelomonas,volvocina,2c-SmallEugl,SC,1,0,Small,0,NA,NA,NA,NA
2d,Rhodomonas KARSTEN sp.,Rhodomonas,Rhodomonas,TRUE,Rhodomonas,,2d-Crypto,C,1,0,Small,0,NA,NA,NA,NA
2d,Plagioselmis nannoplanctica (SKUJA) NOVARINO, LUCAS ET AL. 1994,Plagioselmis nannoplanctica,Plagioselmis nannoplanctica,TRUE,Plagioselmis,nannoplanctica,2d-Crypto,C,1,0,Small,0,NA,NA,NA,NA
2d,Rhodomonas minuta SKUJA & RUTTNER,Rhodomonas minuta,Plagioselmis nannoplanctica,FALSE,Plagioselmis,nannoplanctica,2d-Crypto,C,1,0,Small,0,NA,NA,NA,NA
2d,Rhodomonas lens PASCHER & RUTTNER,Rhodomonas lens,Rhodomonas lens,TRUE,Rhodomonas,lens,2d-Crypto,C,1,0,Small,0,NA,NA,NA,NA
2d,Chroomonas HANSGIRG sp.,Chroomonas,Chroomonas,TRUE,Chroomonas,,2d-Crypto,C,1,0,Small,0,NA,NA,NA,NA
2d,Cryptomonas EHRENBERG 1838 spp. 'large' (C. curvirostrata ?),Cryptomonas large,Cryptomonas (large),FALSE,Cryptomonas,(large),2d-Crypto,C,1,0,Small,0,NA,NA,NA,NA
2d,Cryptomonas EHRENBERG 1838 spp.,Cryptomonas,Cryptomonas,TRUE,Cryptomonas,,2d-Crypto,C,1,0,Small,0,NA,NA,NA,NA
2d,Rhodomonas lacustris PASCHER & RUTTNER,Rhodomonas lacustris,Rhodomonas lacustris,TRUE,Rhodomonas,lacustris,2d-Crypto,C,1,0,Small,0,NA,NA,NA,NA
2d,Cryptomonas EHRENBERG 1838 sp.('small' -CBUT,'C' CSRE, ? C.erosa),Cryptomonas (small),Cryptomonas (small),TRUE,Cryptomonas,(small),2d-Crypto,C,1,0,Small,0,NA,NA,NA,NA
2d,Cryptomonas EHRENBERG 1838 spp. 'medium' (C. ovata ?),Cryptomonas medium,Cryptomonas (medium),FALSE,Cryptomonas,(medium),2d-Crypto,C,1,0,Small,0,NA,NA,NA,NA
3a,Chlamydomonas EHRENBERG 1833 sp. (medium),Chlamydomonas (medium),Chlamydomonas (medium),TRUE,Chlamydomonas,(medium),3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Chlamydomonas EHRENBERG 1833 sp. (>10?m cylindrical),Chlamydomonas (> 10 um cylindrical),Chlamydomonas (> 10 um cylindrical),TRUE,Chlamydomonas,(>,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Carteria DIESING,Carteria,Carteria,TRUE,Carteria,,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Chlamydomonas EHRENBERG 1833 sp. (oval),Chlamydomonas (oval),Chlamydomonas (oval),TRUE,Chlamydomonas,(oval),3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Chlamydomonas EHRENBERG 1833 sp. (small),Chlamydomonas (small),Chlamydomonas (small),TRUE,Chlamydomonas,(small),3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Chlamydomonas gloeophila SKUJA 1948,Chlamydomonas gloeophila,Chlamydomonas gloeophila,TRUE,Chlamydomonas,gloeophila,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Tetrachloris PASCHER & JAHODA sp.,Tetrachloris,Quadrichloris,FALSE,Quadrichloris,,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Tetrachloris merismopedioides,Tetrachloris merismopedioides,Quadrichloris,FALSE,Quadrichloris,,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Chlorogonium EHRENBERG 1830 sp.,Chlorogonium,Chlorogonium,TRUE,Chlorogonium,,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Chlamydomonas EHRENBERG 1833 sp big (JL-a separate entity) (CSRE 15 ?m),Chlamydomonas big (JL-a separate entity) (CSRE 15 um),Chlamydomonas (big 15 um),FALSE,Chlamydomonas,(big,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Chlamydomonas epiphytica G M SMITH,Chlamydomonas epiphytica,Chlamydomonas epibiotica,FALSE,Chlamydomonas,epibiotica,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Chlamydomonas EHRENBERG 1833 sp.,Chlamydomonas,Chlamydomonas,TRUE,Chlamydomonas,,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3b,Pandorina BORY 1824 sp.,Pandorina,Pandorina,TRUE,Pandorina,,3b-ColoPhyto,S,1,1,NA,1,NA,NA,NA,NA
3b,Gonium pectorale OF M?LER 1773 (zygotic?),Gonium pectorale (zygotic?),Gonium pectorale,FALSE,Gonium,pectorale,3b-ColoPhyto,S,1,1,NA,1,NA,NA,NA,NA
3b,Gonium pectorale OF M?LER 1773,Gonium pectorale,Gonium pectorale,TRUE,Gonium,pectorale,3b-ColoPhyto,S,1,1,NA,1,NA,NA,NA,NA
3b,Pandorina morum (OF M?LER) BORY 1824,Pandorina morum,Pandorina morum,TRUE,Pandorina,morum,3b-ColoPhyto,S,1,1,NA,1,NA,NA,NA,NA
3b,Eudorina elegans EHRENBERG 1831,Eudorina elegans,Eudorina elegans,TRUE,Eudorina,elegans,3b-ColoPhyto,S,1,1,NA,1,NA,NA,NA,NA
3b,Eudorina EHRENBERG 1832 sp.,Eudorina,Eudorina,TRUE,Eudorina,,3b-ColoPhyto,S,1,1,NA,1,NA,NA,NA,NA
3b,Gonium O.F.MULLER sp.,Gonium,Gonium,TRUE,Gonium,,3b-ColoPhyto,S,1,1,NA,1,NA,NA,NA,NA
4,Synechococcus N?ELI,Synechococcus,Synechococcus,TRUE,Synechococcus,,4-UnicCyano,C,0,1,NA,0,NA,NA,NA,NA
4,Synechocystis SAUVAGEAU,Synechocystis,Synechocystis,TRUE,Synechocystis,,4-UnicCyano,C,0,1,NA,0,NA,NA,NA,NA
5a,Pseudanabaena limnetica (LEMMERMANN)  KOM?REK,Pseudanabaena limnetica,Pseudanabaena limnetica,TRUE,Pseudanabaena,limnetica,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Oscillatoria VAUCHER EX GOMONT 1892 sp.,Oscillatoria,Oscillatoria,TRUE,Oscillatoria,,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Planktothrix mougeotii (BORY EX GOMONT) ANAGNOSTIDIS ET KOM?REK 1988,Planktothrix mougeotii,Planktothrix mougeotii,TRUE,Planktothrix,mougeotii,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Tychonema bourrellyi (LUND) ANAGNOSTIDIS & KOM?REK 1988,Tychonema bourrellyi,Tychonema bourrellyi,TRUE,Tychonema,bourrellyi,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Oscillatoria limnetica LEMMERMANN 1900,Oscillatoria limnetica,Pseudanabaena limnetica,FALSE,Pseudanabaena,limnetica,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Pseudanabaena LAUTERBORN 1915 sp.,Pseudanabaena,Pseudanabaena,TRUE,Pseudanabaena,,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Limnothrix redekei (VAN GOOR) MEFFERT 1988,Limnothrix redekei,Pseudanabaena redekei,FALSE,Pseudanabaena,redekei,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Planktothrix agardhii (GOMONT) ANAGNOSTIDIS & C845 1988,Planktothrix agardhii,Planktothrix agardhii,TRUE,Planktothrix,agardhii,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Planktothrix sp.,Planktothrix,Planktothrix,TRUE,Planktothrix,,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5b,Microcystis K?ZING EX LEMMERMANN 1907 sp. (small),Microcystis (small),Microcystis (small),TRUE,Microcystis,(small),5b-LargeVacC,S,0,1,Large,1,NA,NA,1,NA
5b,Microcystis K?ZING EX LEMMERMANN 1907 sp.,Microcystis,Microcystis,TRUE,Microcystis,,5b-LargeVacC,S,0,1,Large,1,NA,NA,1,NA
