MFG.num,phyto_name,Algaebase_Current_17Aug2017,Match.,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
3a,Carteria spp.,Carteria,FALSE,Carteria,,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Pteromonas spp.,Pteromonas,FALSE,Pteromonas,,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3a,Chlorogonium spp.,Chlorogonium,FALSE,Chlorogonium,,3a-UnicPhyto,C,1,1,NA,0,NA,NA,NA,NA
3b,Eudorina spp.,Eudorina,FALSE,Eudorina,,3b-ColoPhyto,S,1,1,NA,1,NA,NA,NA,NA
3b,Gonium spp.,Gonium,FALSE,Gonium,,3b-ColoPhyto,S,1,1,NA,1,NA,NA,NA,NA
3b,Pandorina morum,Pandorina morum,TRUE,Pandorina,morum,3b-ColoPhyto,S,1,1,NA,1,NA,NA,NA,NA
4,Synechococcus spp.,Synechococcus,FALSE,Synechococcus,,4-UnicCyano,C,0,1,NA,0,NA,NA,NA,NA
5a,Pseudanabaena spp.,Pseudanabaena,FALSE,Pseudanabaena,,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Planktothrix spp.,Planktothrix,FALSE,Planktothrix,,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5a,Planktolyngbya spp.,Planktolyngbya,FALSE,Planktolyngbya,,5a-FilaCyano,R,0,1,NA,1,NA,NA,NA,NA
5b,Microcystis aeruginosa,Microcystis aeruginosa,TRUE,Microcystis,aeruginosa,5b-LargeVacC,S,0,1,Large,1,NA,NA,1,NA
5c,Aphanocapsa spp.,Aphanocapsa,FALSE,Aphanocapsa,,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Woronichinia spp.,Woronichinia,FALSE,Woronichinia,,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Romeria spp.,Romeria,FALSE,Romeria,,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Snowella spp.,Snowella,FALSE,Snowella,,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Rhabdogloea spp.,Rhabdogloea,FALSE,Rhabdogloea,,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Aphanothece spp.,Aphanothece,FALSE,Aphanothece,,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Rhabdoderma spp.,Rhabdoderma,FALSE,Rhabdoderma,,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5d,Gloeothece spp.,Gloeothece,FALSE,Gloeothece,,5d-SmallChroo,CR,0,1,Small,1,NA,NA,NA,NA
5d,Chroococcus spp.,Chroococcus,FALSE,Chroococcus,,5d-SmallChroo,CR,0,1,Small,1,NA,NA,NA,NA
5d,Merismopedia spp.,Merismopedia,FALSE,Merismopedia,,5d-SmallChroo,CR,0,1,Small,1,NA,NA,NA,NA
5e,Cylindrospermopsis spp.,Cylindrospermopsis,FALSE,Cylindrospermopsis,,5e-Nostocales,S,0,1,Small,1,NA,NA,NA,NA
5e,Anabaena spp.,Dolichospermum,FALSE,Dolichospermum,,5e-Nostocales,S,0,1,Small,1,NA,NA,NA,NA
5e,Aphanizomenon spp. without A.issatschenkoi,Aphanizomenon,FALSE,Aphanizomenon,,5e-Nostocales,S,0,1,Small,1,NA,NA,NA,NA
5e,Raphidiopsis spp.,Raphidiopsis,FALSE,Raphidiopsis,,5e-Nostocales,S,0,1,Small,1,NA,NA,NA,NA
6a1,Aulacoseira spp.,Aulacoseira,FALSE,Aulacoseira,,6a1-LColCent,CR,0,1,Large,1,1,NA,NA,NA
6a1,Melosira varians complex,Melosira varians,FALSE,Melosira,varians,6a1-LColCent,CR,0,1,Large,1,1,NA,NA,NA
6a2,Urosolenia longiseta,Urosolenia longiseta,TRUE,Urosolenia,longiseta,6a2-LUniCent,CR,0,1,Large,0,1,NA,NA,NA
6b1,Fragilaria spp.,Fragilaria,FALSE,Fragilaria,,6b1-LColPenn,CR,0,1,Large,1,0,NA,NA,NA
6b1,Asterionella formosa complex,Asterionella formosa,FALSE,Asterionella,formosa,6b1-LColPenn,CR,0,1,Large,1,0,NA,NA,NA
6b2,Pinnularia spp.,Pinnularia,FALSE,Pinnularia,,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Surirella spp.,Surirella,FALSE,Surirella,,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Synedra japonica =Ulnaria japonica,Ulnaria japonica,FALSE,Ulnaria,japonica,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Rhopalodia gibba,Rhopalodia gibba,TRUE,Rhopalodia,gibba,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Amphora spp.,Amphora,FALSE,Amphora,,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
7a,Thalassiosira spp.,Thalassiosira,FALSE,Thalassiosira,,7a-SmallCent,C,0,1,Small,NA,1,NA,NA,NA
7b,Cocconeis spp.,Cocconeis,FALSE,Cocconeis,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Diploneis spp.,Diploneis,FALSE,Diploneis,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Cymbella spp.,Cymbella,FALSE,Cymbella,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Navicula spp.,Navicula,FALSE,Navicula,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Diatoma spp.,Diatoma,FALSE,Diatoma,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Gomphonema spp.,Gomphonema,FALSE,Gomphonema,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Achnanthidium minutissimum complex,Achnanthidium minutissimum,FALSE,Achnanthidium,minutissimum,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Nitzschia spp.,Nitzschia,FALSE,Nitzschia,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Eunotia spp.,Eunotia,FALSE,Eunotia,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
8a,Closterium spp.,Closterium,FALSE,Closterium,,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Staurastrum spp.,Staurastrum,FALSE,Staurastrum,,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Monoraphidium spp.,Monoraphidium,FALSE,Monoraphidium,,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Closteriopsis spp.,Closteriopsis,FALSE,Closteriopsis,,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Korshikoviella spp.,Korshikoviella,FALSE,Korshikoviella,,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
9a,Cosmarium spp.,Cosmarium,FALSE,Cosmarium,,9a-SmallConj,C,0,1,Small,0,NA,NA,NA,NA
9a,Euastrum spp.,Euastrum,FALSE,Euastrum,,9a-SmallConj,C,0,1,Small,0,NA,NA,NA,NA
9b,Tetrachlorella spp.,Tetrachlorella,FALSE,Tetrachlorella,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Polyedriopsis spinulosa,Polyedriopsis spinulosa,TRUE,Polyedriopsis,spinulosa,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Golenkiniopsis spp.,Golenkiniopsis,FALSE,Golenkiniopsis,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Golenkinia spp.,Golenkinia,FALSE,Golenkinia,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Ankyra spp.,Ankyra,FALSE,Ankyra,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Desmatractum spp.,Desmatractum,FALSE,Desmatractum,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Acanthosphaera spp.,Acanthosphaera,FALSE,Acanthosphaera,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Franceia spp.,Franceia,FALSE,Franceia,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Chlorella spp.,Chlorella,FALSE,Chlorella,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
