MFG.num,phyto_name,Algaebase_Current_7Aug2017,Match.,X,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
1b,Peridinium large (>40µm),Peridinium large (> 40 um),FALSE,,Peridinium,large,1b-LargeDino,S,1,0,Large,NA,NA,NA,NA,NA
1c,Euglena sp.,Euglena,FALSE,,Euglena,,1c-LargeEugl,,1,0,Large,NA,NA,NA,NA,NA
1c,Phacus sp.,Phacus,FALSE,,Phacus,,1c-LargeEugl,,1,0,Large,NA,NA,NA,NA,NA
1c,Centritractus sp.,Centritractus,FALSE,,Centritractus,,1c-LargeEugl,,1,0,Large,NA,NA,NA,NA,NA
2a,Chrysoflagellates >10µm,Chrysoflagellates > 10 um,FALSE,,Chrysoflagellates,>,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Epipyxis sp.,Epipyxis,FALSE,,Epipyxis,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Chrysoflagellates 5-10µm,Chrysoflagellates 5-10 um,FALSE,,Chrysoflagellates,5-10,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Chrysococcus sp.,Chrysococcus,FALSE,,Chrysococcus,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Epipyxis borgei,Epipyxis borgei,TRUE,,Epipyxis,borgei,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Chrysolycos planktonicus,Chrysolykos planctonicus,FALSE,,Chrysolykos,planctonicus,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Pseodokephyrion sp.,Pseudokephyrion,FALSE,,Pseudokephyrion,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Mallomonas sp.,Mallomonas,FALSE,,Mallomonas,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Chrysoflagellates up to 5µm,Chrysoflagellates < 5 um,FALSE,,Chrysoflagellates,<,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Kephyrion sp.,Kephyrion,FALSE,,Kephyrion,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2b,Gymnodinium sp,Gymnodinium,FALSE,,Gymnodinium,,2b-SmallDino,SC,1,0,Small,0,NA,NA,NA,NA
2c,Trachelomonas sp.,Trachelomonas,FALSE,,Trachelomonas,,2c-SmallEugl,SC,1,0,Small,0,NA,NA,NA,NA
