MFG.num,phyto_name,Algaebase_Current_21Aug2017,Match.,Notes,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
5c,Aphanocapsa elachista,Aphanocapsa elachista,TRUE,,Aphanocapsa,elachista,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Aphanocapsa delicatissima,Aphanocapsa delicatissima,TRUE,,Aphanocapsa,delicatissima,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Aphanocapsa roeseana,Aphanocapsa roeseana,TRUE,,Aphanocapsa,roeseana,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Cyaodiction sp,Cyanodictyon,FALSE,,Cyanodictyon,,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Aphanothece sp,Aphanothece,FALSE,,Aphanothece,,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5c,Aphanocapsa incerta,Aphanocapsa incerta,TRUE,,Aphanocapsa,incerta,5c-OtherChroo,S,0,1,Large,1,NA,NA,0,NA
5d,Merismopedia spp,Merismopedia,FALSE,,Merismopedia,,5d-SmallChroo,CR,0,1,Small,1,NA,NA,NA,NA
5d,Chroococcus spp,Chroococcus,FALSE,,Chroococcus,,5d-SmallChroo,CR,0,1,Small,1,NA,NA,NA,NA
5e,Raphidiopsis mediterranea,Raphidiopsis mediterranea,TRUE,,Raphidiopsis,mediterranea,5e-Nostocales,S,0,1,Small,1,NA,NA,NA,NA
5e,Aphanizomenon sp,Aphanizomenon,FALSE,,Aphanizomenon,,5e-Nostocales,S,0,1,Small,1,NA,NA,NA,NA
5e,Dolichospermum sp,Dolichospermum,FALSE,,Dolichospermum,,5e-Nostocales,S,0,1,Small,1,NA,NA,NA,NA
6b1,Synedra accus,Fragilaria acus,FALSE,Mis-spelling and new name in Algaebase,Fragilaria,acus,6b1-LColPenn,CR,0,1,Large,1,0,NA,NA,NA
6b1,Fragilaria construens,Fragilaria construens,TRUE,,Fragilaria,construens,6b1-LColPenn,CR,0,1,Large,1,0,NA,NA,NA
6b2,Hantzschia amphioxys,Hantzschia amphioxys,TRUE,,Hantzschia,amphioxys,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Pinnularia spp,Pinnularia,FALSE,,Pinnularia,,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Caloneis westii,Caloneis westii,TRUE,,Caloneis,westii,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
7a,Cyclotella meneghiniana,Cyclotella meneghiniana,TRUE,,Cyclotella,meneghiniana,7a-SmallCent,C,0,1,Small,NA,1,NA,NA,NA
7b,Nitzschia spp,Nitzschia,FALSE,,Nitzschia,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Stauroneis phoenicenteron,Stauroneis phoenicenteron,TRUE,,Stauroneis,phoenicenteron,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Navicula spp,Navicula,FALSE,,Navicula,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
8a,Monoraphidium caribeum,Monoraphidium caribeum,TRUE,,Monoraphidium,caribeum,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Schroederia espiralis,Schroederia spiralis,FALSE,Mis-spelling,Schroederia,spiralis,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Staurstrum sp,Staurastrum,FALSE,Mis-spelling,Staurastrum,,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Monoraphidium tortile,Monoraphidium tortile,TRUE,,Monoraphidium,tortile,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Monoraphidium kovrmakovae,Monoraphidium komarkovae,FALSE,Mis-spelling,Monoraphidium,komarkovae,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Monoraphidium contortum,Monoraphidium contortum,TRUE,,Monoraphidium,contortum,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Mnoraphidium indicum,Monoraphidium indicum,FALSE,Mis-spelling,Monoraphidium,indicum,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Monoraphidium griffithii,Monoraphidium griffithii,TRUE,,Monoraphidium,griffithii,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Monoraphidium circinale,Monoraphidium circinale,TRUE,,Monoraphidium,circinale,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Schroederia setigera,Schroederia setigera,TRUE,,Schroederia,setigera,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
